Election_ID,State,Constituency_Code,Constituency_Name,Round,Last_Updated_Time,Candidate_Name,Party,Gender,Age,Education,Criminal_Cases,Assets_Cr,Liabilities_Cr,Campaign_Spending_Cr,Social_Media_Followers,Speech_Sentiment,Popularity_Score,Historical_Win_Rate,Registered_Voters,EVM_Votes,Postal_Votes,Total_Votes,Vote_Percentage,Vote_Surge_Score,Constituency_Volatility,Independent_Candidate_Count,Voter_Turnout,Urban_Voter_Ratio,Rural_Voter_Ratio,Postal_Vote_Ratio,Fraud_Risk_Score,Anomaly_Score,Strategic_Manipulation_Score,Bot_Activity_Flag,Fake_News_Score,Cyber_Attack_Risk,Booth_Capture_Risk,Deepfake_Propagation_Score,Suspicious_Timing_Index,Vote_Injection_Risk,Attack_Type,Defense_Strategy,Adversarial_Pressure,Strategic_Polarization_Index,Influence_Network_Strength,Vote_Change_Per_Round,Late_Round_Surge,Time_Between_Updates_min,Sequential_Risk_Score,EVM_Device_ID,Server_Delay_ms,Network_Failure_Count,Power_Outage_Risk,Noise_Float_1,Noise_Float_2,Noise_Category,Correlated_Noise_Score,Fraud_Proxy_Duplicate,Election_Result,Fraud_Label,Risk_Category
12135bca-2269-4aa6-b02e-843adfc1eb61,Gujarat,C0276,Bongaigaon,6,2024-05-26T16:25:47.797091+05:53,Radhika Hayer,CPM,Female,66,12th Pass,0,10.08,2.44,1.35,7890,0.9111,0.7059,0.475,168024,68071,20903,88974,52.95,0.2319,0.3166,4,0.5295,0.1603,0.8397,0.2349,0.3429,0.3838,0.3488,True,0.3397,0.1793,0.3421,0.505,0.474,0.3142,Cyber Intrusion,AI Monitoring,0.9957,0.6684,0.172,-0.0229,0.1203,26.1,0.3859,EVM-MH866ILY,257.3,1,0.0592,24.436,55.382,E,0.397,0.1825,Won,0,Medium
995ec0b7-4932-46d2-a0b4-9be26e3cccc8,Uttar Pradesh,C0178,Tiruchirappalli,5,2024-05-20T11:13:42.618702+05:53,Hritik Kapur,DMK,Male,51,Graduate,0,12.5,0.8,,77331,,0.6568,0.7408,275475,200184,4837,205021,74.42,0.0833,0.2174,7,0.7442,0.7217,0.2783,0.0236,0.3935,0.2871,0.2692,False,0.2238,0.3264,0.4759,0.1592,0.4776,0.1866,Cyber Intrusion,AI Monitoring,0.9796,0.6704,0.4193,-0.0073,0.0209,137.2,0.2429,EVM-PM127YQD,147.8,1,0.1829,76.249,52.535,D,0.6168,0.3871,Won,0,Medium
708c9184-0c33-4b18-acde-478982943b77,Uttar Pradesh,C0541,Muzaffarnagar,7,2024-06-01T17:58:41.496429+05:53,Henry Mutti,Independent,Male,65,Post-Graduate,0,1.35,0.37,0.2,308832,0.6463,0.6527,0.3141,125417,87701,2350,90051,71.8,0.0674,0.2534,3,0.718,0.3991,0.6009,0.0261,0.4387,0.4399,0.3952,True,0.5791,0.3856,0.553,0.6786,0.5004,0.167,Cyber Intrusion,Multi-layer Encryption,1.0,0.7301,0.3862,0.0032,0.2841,33.8,0.5311,EVM-IN603LGQ,359.0,5,0.1379,56.99,68.269,C,0.4633,0.3691,Won,1,High
377cdf22-0b01-476e-9a4d-ddf64e76fec6,Chhattisgarh,C0100,Giridih,5,2024-05-20T13:45:05.724166+05:53,Noah Subramaniam,AAP,Male,59,Post-Graduate,0,1.52,0.45,,11017,0.1357,0.5198,0.533,106711,78376,3507,81883,76.73,0.0988,0.3664,3,0.7673,0.4307,0.5693,0.0428,0.2693,0.2652,0.2138,False,0.1995,0.2531,0.4616,0.1106,0.4639,0.1802,Cyber Intrusion,Multi-layer Encryption,0.965,0.6675,0.2635,-0.0357,0.0086,23.4,0.2401,EVM-JX890SRJ,163.6,2,0.0764,43.313,63.143,D,0.3076,0.2241,Lost,0,Medium
defe3a97-17a0-46d2-9a48-24faa426f028,Jharkhand,C0330,Chennai,4,2024-05-14T07:42:53.386191+05:53,Sanya Tak,YSRCP,Female,42,Post-Graduate,4,1.1,0.08,0.25,11201,0.5515,0.5481,0.2766,73975,30830,6904,37734,51.01,0.1809,0.1289,3,0.5101,0.2237,0.7763,0.183,0.3315,0.2069,0.2941,False,0.278,0.4338,0.5721,0.191,0.1971,0.2877,Cyber Intrusion,Multi-layer Encryption,,0.6968,0.3523,-0.0484,0.0,12.6,0.1676,EVM-LG395LYY,,1,0.2806,91.158,42.239,A,0.5159,0.2132,Lost,0,Medium
b535235e-1ca3-4434-ada6-6b0a18ad718c,Uttar Pradesh,C0490,Uluberia,5,2024-05-20T03:25:51.417054+05:53,Rachit Gola,CPM,Male,54,Post-Graduate,0,51.9,9.78,14.82,2950,0.7004,0.6971,0.337,269358,207846,8150,215996,80.19,0.1465,0.0853,5,0.8019,0.4281,0.5719,0.0377,0.3452,0.2596,0.301,False,0.2385,0.3918,0.4413,0.1481,0.5182,0.2003,Cyber Intrusion,AI Monitoring,1.0,0.7109,0.1551,0.0115,0.0684,64.5,0.2134,EVM-YD505JYQ,262.2,5,0.07,19.022,57.03,B,0.0,0.2573,Lost,1,Medium
773102be-64cc-4d3e-8d50-75d4890692a7,Assam,C0499,Bhagalpur,7,2024-06-03T00:20:34.586148+05:53,Yutika Soni,CPM,Male,47,Post-Graduate,0,7.29,3.13,2.17,71710,0.5423,0.6345,0.41,177946,102380,3237,105617,59.35,0.0943,0.441,3,0.5935,0.4917,0.5083,0.0307,0.3333,0.2983,0.2796,False,0.2745,0.2971,0.6074,0.1261,0.4909,0.1463,Cyber Intrusion,Multi-layer Encryption,1.0,0.6647,0.2926,,0.0289,87.0,0.2589,EVM-BE481NXF,115.2,1,0.0864,14.653,36.952,E,0.4114,0.3256,Lost,1,Medium
2c7504eb-6462-4fce-8e46-010a7775b9fc,Rajasthan,C0029,Satna,5,2024-05-21T00:12:24.427105+05:53,Keya Madan,DMK,Male,67,10th Pass,0,3.1,0.78,0.56,30518,0.9045,0.7707,0.679,127468,94421,9445,103866,81.48,0.1473,0.0613,7,0.8148,0.8368,0.1632,0.0909,0.3598,0.429,0.4646,True,0.5844,0.6279,0.3273,0.7222,0.6254,0.1574,Cyber Intrusion,Real-time Audit,1.0,0.636,0.5463,-0.0298,0.119,34.9,0.4287,EVM-PH502FGT,252.8,8,0.2181,36.005,29.294,E,0.1715,0.4207,Won,0,High
020fe9f1-e2d0-49a6-a0ed-b911ea809f1d,Uttar Pradesh,C0398,Agartala,5,2024-05-21T20:40:35.957490+05:53,Leena Goda,TRS,Male,40,Graduate,0,1.1,0.29,0.07,201018,0.498,0.6702,0.1374,172385,116688,9294,125982,73.08,0.0619,0.2983,5,0.7308,0.4511,0.5489,0.0738,0.3619,0.2815,0.2608,False,0.2323,0.3244,0.6121,0.1289,0.4746,0.1956,Cyber Intrusion,Multi-layer Encryption,1.0,0.675,0.3011,-0.0447,0.1399,53.4,0.2642,EVM-XP467NQY,214.5,1,0.1347,12.089,12.51,B,0.3481,0.4148,Lost,0,Medium
cd48b8d3-439c-43ef-b1be-65a50685d52d,Karnataka,C0343,Kishanganj,7,2024-06-01T01:51:50.336103+05:53,Ekani Choudhary,BSP,Male,67,12th Pass,2,2.93,0.51,0.91,743,0.4448,0.5364,0.5629,136898,87842,13305,101147,73.89,0.0796,0.1256,3,0.7389,0.3147,0.6853,0.1316,0.361,0.4173,0.4401,True,0.5148,0.4755,0.2647,0.6894,0.5881,0.1955,Cyber Intrusion,Network Firewall,1.0,0.6665,0.3517,-0.0116,0.1388,31.2,0.4279,EVM-HQ780MTX,250.9,5,0.1585,86.19,67.584,C,0.1857,0.3413,Won,0,High
